start	end	seg_len
1170093755	1170104039	10284
1170104041	1170104461	420
1170104463	1170107438	2975
1170107440	1170107667	227
1170107669	1170107999	330
1170108001	1170108191	190
1170108193	1170108231	38
1170108233	1170108387	154
1170108389	1170108810	421
1170108812	1170108825	13
1170108827	1170108835	8
1170108837	1170118554	9717
1170122736	1170130731	7995
1170131950	1170134371	2421
1170140105	1170145789	5684
1170145965	1170172048	26083
1170197304	1170197739	435
1170197741	1170197756	15
1170197991	1170210463	12472
1170211868	1170212473	605
1170213044	1170223413	10369
1170226175	1170232509	6334
1170233127	1170234990	1863
1170237530	1170255322	17792
1170284489	1170318828	34339
1170318832	1170329012	10180
1170338303	1170342744	4441
1170343308	1170356098	12790
1170360909	1170368062	7153
1170370056	1170382168	12112
1170382709	1170386755	4046
1170386802	1170387500	698
1170387668	1170388055	387
1170390527	1170391603	1076
1170408845	1170412534	3689
1170412718	1170417427	4709
1170427099	1170434160	7061
1170434164	1170436244	2080
1170439063	1170439439	376
1170439441	1170440387	946
1170444089	1170444542	453
1170470866	1170473681	2815
1170480440	1170481111	671
1170481115	1170481129	14
1170489012	1170504805	15793
1170507235	1170512877	5642
1170577396	1170577441	45
1170577450	1170577626	176
1170577683	1170578037	354
1170578045	1170578437	392
1170578447	1170579078	631
1170579082	1170581954	2872
1170581959	1170584166	2207
1170584173	1170584876	703
1170584890	1170585238	348
1170585245	1170600465	15220
1170602950	1170602986	36
1170602989	1170612102	9113
1170612104	1170613264	1160
1170613266	1170615326	2060
1170618970	1170619993	1023
1170619995	1170624364	4369
1170624366	1170626301	1935
1170626303	1170634561	8258
1170634563	1170642623	8060
1170645534	1170654624	9090
1170658496	1170670569	12073
1170677563	1170680718	3155
1170695466	1170700023	4557
1170700025	1170700300	275
1170700302	1170700523	221
1170703541	1170704557	1016
1170708765	1170709129	364
1170709131	1170709284	153
1170709286	1170709543	257
1170709545	1170712040	2495
1170712042	1170716450	4408
1170716452	1170729409	12957
1170729411	1170734041	4630
1170734043	1170734464	421
1170734466	1170744979	10513
1170744989	1170745120	131
1170745123	1170745184	61
1170745208	1170745847	639
1170745854	1170745888	34
1170745895	1170746344	449
1170746354	1170746540	186
1170746546	1170746611	65
1170746622	1170746688	66
1170746697	1170746745	48
1170746749	1170746863	114
1170746868	1170746908	40
1170746914	1170747003	89
1170747014	1170747129	115
1170747136	1170747156	20
1170747161	1170747242	81
1170747246	1170747291	45
1170747297	1170747461	164
1170747468	1170747515	47
1170747521	1170747568	47
1170747576	1170747744	168
1170747764	1170747787	23
1170747792	1170747816	24
1170758965	1170769363	10398
1170769365	1170770926	1561
1170770928	1170772165	1237
1170772172	1170772207	35
1170772232	1170772333	101
1170772356	1170772440	84
1170772449	1170772525	76
1170772569	1170772574	5
1170772579	1170772602	23
1170772627	1170772671	44
1170772777	1170772867	90
1170772879	1170772945	66
1170772975	1170772986	11
1170786160	1170789019	2859
1170789520	1170801051	11531
1170801053	1170802815	1762
1170802901	1170802918	17
1170802949	1170814112	11163
1170819744	1170820925	1181
1170822686	1170823695	1009
1170823702	1170823718	16
1170831583	1170836221	4638
1170836223	1170855235	19012
1170860376	1170869384	9008
1170869386	1170896413	27027
1170899355	1170906761	7406
1170910933	1170911528	595
1170911654	1170917086	5432
1170917088	1170917260	172
1170917262	1170945704	28442
1170952437	1170977665	25228
1170981075	1171006100	25025
1171012704	1171021117	8413
1171021119	1171030633	9514
1171030721	1171040351	9630
1171040353	1171057505	17152
1171057512	1171063734	6222
1171063736	1171102345	38609
1171105409	1171114633	9224
1171162567	1171163858	1291
1171164076	1171166741	2665
1171208086	1171211989	3903
1171211991	1171217094	5103
1171219355	1171229824	10469
1171229826	1171284208	54382
1171290228	1171300021	9793
1171300023	1171300944	921
1171324465	1171326992	2527
1171327999	1171329199	1200
1171331873	1171333525	1652
1171333527	1171375089	41562
1171375091	1171375243	152
1171375655	1171376550	895
1171377389	1171378051	662
1171378501	1171381588	3087
1171382080	1171386522	4442
1171388170	1171392584	4414
1171394973	1171394996	23
1171394998	1171395019	21
1171395021	1171396363	1342
1171396365	1171397123	758
1171397125	1171401069	3944
1171401071	1171402161	1090
1171402285	1171402972	687
1171403080	1171431030	27950
1171442112	1171453417	11305
1171462616	1171529220	66604
1171529390	1171529645	255
1171531847	1171618584	86737
1171620863	1171627059	6196
1171627061	1171629787	2726
1171636468	1171637007	539
1171644002	1171646616	2614
1171657066	1171666295	9229
1171672884	1171674104	1220
1171674106	1171683060	8954
1171685589	1171697059	11470
1171700304	1171710460	10156
1171714109	1171722309	8200
1171745142	1171752777	7635
1171755409	1171782384	26975
1171784944	1171787501	2557
1171789508	1171789963	455
1171792530	1171795511	2981
1171797991	1171798098	107
1171800576	1171817988	17412
1171824176	1171825518	1342
1171825520	1171829701	4181
1171851646	1171861200	9554
1171861650	1171863774	2124
1171872951	1171893138	20187
1171893141	1171895025	1884
1171895027	1171907092	12065
1171907368	1171912542	5174
1171912544	1171912545	1
1171912547	1171913172	625
1171913174	1171922151	8977
1171922153	1171922674	521
1171924947	1171929222	4275
1171929224	1171930921	1697
1171930923	1171935304	4381
1171941056	1171957195	16139
1171958822	1171974803	15981
1171978557	1171991972	13415
1172024211	1172029747	5536
1172029754	1172031970	2216
1172031976	1172032371	395
1172032378	1172032390	12
1172032394	1172032397	3
1172032401	1172032574	173
1172032576	1172032746	170
1172032752	1172032814	62
1172032816	1172032859	43
1172032861	1172032887	26
1172032889	1172032960	71
1172032963	1172033000	37
1172033002	1172034880	1878
1172034884	1172035032	148
1172035036	1172035190	154
1172035195	1172035744	549
1172035748	1172036024	276
1172036033	1172036036	3
1172036045	1172036073	28
1172036077	1172036087	10
1172036097	1172036571	474
1172036573	1172036702	129
1172036704	1172036756	52
1172036759	1172036839	80
1172036842	1172036918	76
1172036920	1172037362	442
1172037365	1172038111	746
1172038120	1172038843	723
1172038845	1172041728	2883
1172041773	1172043399	1626
1172043403	1172046890	3487
1172058407	1172062779	4372
1172071228	1172075434	4206
1172080956	1172082802	1846
1172082804	1172083127	323
1172083221	1172085000	1779
1172088146	1172090423	2277
1172093111	1172134323	41212
1172138843	1172141666	2823
1172146372	1172152802	6430
1172154191	1172155614	1423
1172162806	1172184021	21215
1172184023	1172184256	233
1172184258	1172184511	253
1172184516	1172201409	16893
1172201411	1172201447	36
1172201450	1172206917	5467
1172206919	1172209770	2851
1172214924	1172223547	8623
1172223550	1172223895	345
1172228913	1172239913	11000
1172239915	1172239917	2
1172239919	1172239932	13
1172239934	1172258325	18391
1172258327	1172268065	9738
1172268067	1172270917	2850
1172270921	1172276821	5900
1172276825	1172291457	14632
1172297382	1172326683	29301
1172326685	1172329436	2751
1172362758	1172370989	8231
1172371033	1172376215	5182
1172382122	1172387194	5072
1172388887	1172395489	6602
1172395494	1172396324	830
1172397674	1172402517	4843
1172402523	1172404228	1705
1172410623	1172412557	1934
1172412560	1172418527	5967
1172418529	1172418810	281
1172425479	1172425773	294
1172425779	1172428894	3115
1172428896	1172431156	2260
1172447521	1172447703	182
1172448396	1172448821	425
1172448830	1172457783	8953
1172460360	1172463759	3399
1172470244	1172472785	2541
1172476825	1172486013	9188
1172486085	1172490026	3941
1172496535	1172499451	2916
1172523847	1172526135	2288
1172526137	1172534016	7879
1172535732	1172535857	125
1172536173	1172548882	12709
1172548885	1172552345	3460
1172554338	1172564416	10078
1172570859	1172591444	20585
1172591449	1172591479	30
1172591482	1172591484	2
1172591486	1172592726	1240
1172592728	1172594834	2106
1172602121	1172602716	595
1172602729	1172606424	3695
1172615950	1172616282	332
1172619713	1172634627	14914
1172634648	1172634662	14
1172634666	1172634681	15
1172634684	1172634698	14
1172634704	1172635040	336
1172642752	1172643341	589
1172644109	1172646841	2732
1172646843	1172661670	14827
1172661673	1172688161	26488
1172695539	1172701776	6237
1172701790	1172701791	1
1172701805	1172701822	17
1172701824	1172701825	1
1172701827	1172701995	168
1172702001	1172709598	7597
1172712319	1172724659	12340
1172728123	1172732295	4172
1172735065	1172740729	5664
1172746631	1172746666	35
1172753092	1172758311	5219
1172759186	1172782027	22841
1172782029	1172785517	3488
1172803549	1172812065	8516
1172819075	1172822367	3292
