# m1 m2 mc q a1z a2z Mf af
2.871378610840365297e+01 2.335733795512186362e+01 2.252106337572490347e+01 8.134537837309403496e-01 -7.981049228077827795e-01 -6.841208002877048333e-01 5.034543322404083199e+01 4.308842788049427330e-01
3.438086589567144102e+01 2.552546874387347842e+01 2.573236910305251968e+01 7.424323989200964924e-01 9.150512523306414403e-02 -8.504234103176039339e-01 5.749511636548014337e+01 6.025811184213416549e-01
4.636618246068432825e+01 1.726661449109973745e+01 2.406073650092011462e+01 3.723967248272114228e-01 -1.785718997748543813e-01 -4.687123906190862610e-01 6.184129799058997889e+01 4.733885633483898570e-01
3.555594252225342444e+01 2.329601619378123445e+01 2.494388689928022629e+01 6.551933246939225519e-01 -6.927281135310302540e-01 2.992988539213183863e-01 5.669425771355800237e+01 5.125912212169511095e-01
3.611688040469959304e+01 2.091692189454604645e+01 2.375189902517531593e+01 5.791453098984788994e-01 -6.724757393625423463e-01 -1.052772734275262828e-01 5.518474291136355703e+01 4.443051681597603997e-01
3.678587095788262928e+01 2.640389648267502665e+01 2.705702776296094925e+01 7.177727696839291127e-01 -5.791633174038751317e-03 -3.162850937932172868e-01 6.045192865682334826e+01 6.380859371420608550e-01
4.262871110517345130e+01 2.120263029955368594e+01 2.586118203953816064e+01 4.973791078797247245e-01 1.339575805403621089e-01 -7.518029368003434909e-01 6.142991465625848946e+01 6.200457200268142399e-01
4.377845459328938205e+01 1.861455763027399257e+01 2.441409877047436083e+01 4.251990574634706421e-01 -1.009908690757024413e-01 -5.955131261346232607e-01 6.041572438220666186e+01 5.267476301184282894e-01
3.664979732783125854e+01 2.157700819738150244e+01 2.431157468833497148e+01 5.887347208055710990e-01 -9.892960834135867687e-01 6.806994864739346340e-01 5.632880164729267136e+01 4.188367377497668187e-01
3.584536573559748973e+01 1.977340939645130646e+01 2.297547296758502711e+01 5.516308451782550026e-01 -9.207336896999013254e-01 1.842068524843105126e-01 5.397323716378191705e+01 3.717668710417129652e-01
8.345413290917755944e+01 1.273578025902888733e+01 2.625778798127285185e+01 1.526081431208341777e-01 4.415436961850791597e-01 -9.053831190414647345e-01 9.447383890082096514e+01 6.319680043567587058e-01
